CustomerID,Gender,Age,Annual Income,Spending Score
1,Male,38,61,8
2,Female,49,88,95
3,Male,40,39,21
4,Male,50,115,81
5,Male,20,60,87
6,Female,35,90,80
7,Male,42,142,70
8,Male,59,38,72
9,Male,48,141,25
10,Female,20,147,82
11,Male,57,83,89
12,Male,63,26,12
13,Male,41,93,15
14,Male,67,78,59
15,Female,49,43,26
16,Male,64,15,26
17,Female,39,62,47
18,Female,40,135,32
19,Female,19,52,10
20,Male,44,124,16
21,Female,59,120,71
22,Male,19,89,17
23,Female,43,104,23
24,Female,34,127,26
25,Female,57,17,85
26,Female,50,141,86
27,Female,26,113,7
28,Female,60,141,14
29,Female,65,34,79
30,Female,56,105,7
31,Male,46,102,9
32,Male,59,70,48
33,Female,43,131,72
34,Female,52,60,59
35,Female,67,30,87
36,Male,42,14,93
37,Female,41,101,82
38,Male,30,70,95
39,Male,24,31,94
40,Male,53,79,39
41,Male,62,10,99
42,Male,37,142,18
43,Female,18,21,59
44,Female,25,99,17
45,Female,63,55,14
46,Female,33,43,31
47,Female,31,87,24
48,Male,29,54,99
49,Female,68,82,60
50,Female,40,35,45
51,Male,32,56,98
52,Female,45,130,3
53,Male,51,65,37
54,Female,19,103,43
55,Male,49,116,40
56,Female,40,72,90
57,Female,39,57,55
58,Male,68,70,87
59,Male,42,90,39
60,Male,39,35,15
61,Male,39,45,4
62,Male,66,10,93
63,Male,69,17,86
64,Male,59,122,25
65,Male,23,108,13
66,Female,32,56,82
67,Female,60,136,33
68,Male,54,65,16
69,Female,50,23,42
70,Female,25,37,66
71,Female,61,87,55
72,Female,61,139,99
73,Male,22,118,42
74,Female,56,23,34
75,Male,21,65,30
76,Female,23,124,13
77,Female,62,16,13
78,Female,49,12,18
79,Male,69,120,32
80,Female,47,116,96
81,Male,64,27,99
82,Female,52,47,39
83,Male,57,124,46
84,Female,69,24,29
85,Male,33,128,62
86,Male,30,37,93
87,Female,67,48,62
88,Male,59,26,57
89,Female,47,95,16
90,Female,36,135,56
91,Female,34,53,10
92,Female,36,34,30
93,Female,45,22,25
94,Female,43,34,84
95,Female,54,77,5
96,Female,43,147,65
97,Female,40,76,94
98,Female,26,118,49
99,Female,29,120,3
100,Male,18,120,45
101,Male,18,43,14
102,Female,64,120,30
103,Female,51,17,68
104,Female,49,122,18
105,Female,65,92,62
106,Female,42,51,37
107,Female,57,110,25
108,Female,62,15,48
109,Female,18,35,65
110,Male,33,73,53
111,Female,56,68,79
112,Male,22,118,73
113,Female,39,130,15
114,Female,46,42,49
115,Male,20,30,88
116,Female,29,79,68
117,Male,43,121,12
118,Female,33,13,59
119,Female,68,103,37
120,Male,54,84,61
121,Female,39,71,43
122,Male,46,103,70
123,Female,31,104,39
124,Male,45,64,56
125,Male,22,146,63
126,Female,64,140,46
127,Female,66,40,88
128,Male,47,49,11
129,Female,63,45,62
130,Female,69,15,77
131,Female,22,75,98
132,Male,29,84,25
133,Male,33,13,71
134,Male,43,88,52
135,Male,43,143,4
136,Male,65,127,59
137,Male,38,122,72
138,Male,56,103,20
139,Male,53,71,93
140,Male,50,88,63
141,Female,47,145,54
142,Male,54,35,74
143,Female,40,53,98
144,Female,27,142,57
145,Female,22,79,90
146,Male,53,127,41
147,Male,51,77,3
148,Male,69,28,6
149,Male,48,29,5
150,Female,27,122,5
151,Male,36,149,54
152,Male,49,56,47
153,Male,18,10,87
154,Male,22,99,49
155,Male,62,73,9
156,Female,21,47,99
157,Male,33,46,20
158,Female,41,135,61
159,Male,33,148,35
160,Female,19,109,50
161,Male,66,86,82
162,Male,45,12,62
163,Female,49,143,17
164,Female,44,19,88
165,Female,37,14,3
166,Male,41,147,32
167,Female,29,139,99
168,Male,67,22,13
169,Male,52,139,89
170,Female,50,93,73
171,Female,50,74,68
172,Male,68,72,14
173,Male,60,110,98
174,Female,54,82,11
175,Female,29,26,56
176,Female,20,18,67
177,Male,18,47,92
178,Male,50,103,29
